"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.017814126E0,4.698753357E-3,8.173193783E-2,-3.263978958E-1,3.365082084E-1
1.022778866E0,1.190471649E-1,2.170146257E-2,1.867208481E-1,2.225036091E-1
1.027745116E0,1.870074272E-1,7.230825722E-3,4.820461273E-1,5.171001175E-1
1.032691835E0,1.045551300E-1,-4.282414913E-2,1.883311272E-1,2.196230781E-1
1.037643710E0,-8.015632629E-3,4.769064486E-2,-1.433901787E-1,1.513254483E-1
1.042600272E0,-1.907262802E-1,-4.967205226E-3,-2.729759216E-1,3.330421008E-1
1.047561574E0,8.356094360E-3,-2.400151640E-2,-4.770565033E-2,5.405299414E-2
1.052527772E0,7.972621918E-2,1.179722697E-2,3.302364349E-1,3.399287389E-1
1.057499595E0,1.383228302E-1,4.425242543E-3,9.954977036E-2,1.704785761E-1
1.062475064E0,8.738374710E-2,1.623185724E-2,-1.777315140E-2,9.063816722E-2
1.067451835E0,-4.382276535E-2,-5.520299077E-2,1.215934753E-3,7.049314470E-2
1.072427668E0,-1.121339798E-1,-2.389804274E-2,2.001142502E-2,1.163855790E-1
1.077394074E0,-4.473590851E-2,-6.174387783E-2,-7.275438309E-2,1.053888429E-1
1.082365064E0,-3.702259064E-2,-7.069818676E-2,-3.003964424E-1,3.108165511E-1
1.087304439E0,-1.029396057E-1,-8.652013540E-2,-1.217842102E-3,1.344759436E-1
1.092247251E0,3.115987778E-2,-9.047700465E-2,1.981391907E-1,2.200367361E-1
1.097195012E0,1.044912338E-1,-2.084603906E-1,2.464208603E-1,3.392600666E-1
1.102145168E0,-2.229452133E-2,-1.544233710E-1,-9.056758881E-2,1.804054082E-1
1.107102876E0,-1.123523712E-1,-1.459016800E-1,-1.515984535E-1,2.385213757E-1
1.112068137E0,-1.928329468E-3,-1.540794671E-1,-2.099204063E-1,2.604050261E-1
1.117040845E0,1.170401573E-1,-1.811903268E-1,6.010055542E-2,2.239205433E-1
1.122025116E0,9.244871140E-2,-1.581891924E-1,1.212363243E-1,2.197016868E-1
1.127013033E0,-1.987028122E-2,-2.138445675E-1,2.199053764E-1,3.073803860E-1
1.132002356E0,-5.075073242E-2,-2.927913070E-1,-5.970954895E-2,3.030967115E-1
1.136975949E0,-1.476221085E-1,-1.571761072E-1,-1.329445839E-1,2.533197149E-1
1.141925064E0,-3.911018372E-3,-1.724939793E-1,-1.151609421E-1,2.074403807E-1
1.146876106E0,1.300191879E-2,-7.110168040E-2,-5.741882324E-2,9.231153834E-2
1.151830793E0,1.174035072E-1,-3.728856146E-2,1.069817543E-1,1.631536579E-1
1.156793501E0,1.902780533E-1,-9.632173181E-2,1.177725792E-1,2.436267514E-1
1.161760272E0,-1.033582687E-1,1.134246588E-2,3.423361778E-1,3.577787611E-1
1.166728970E0,-4.810047150E-2,-6.732614338E-2,-1.449022293E-1,1.668625812E-1
1.171699439E0,-1.067242622E-1,-6.909923255E-2,-1.867899895E-1,2.259541375E-1
1.176671731E0,-5.354833603E-2,1.925851405E-2,-1.187438965E-1,1.316754632E-1
1.181641262E0,-2.638196945E-2,2.586141229E-3,2.404041290E-1,2.418612034E-1
1.186609960E0,1.112270355E-1,-1.448617727E-1,8.672761917E-2,2.021832499E-1
1.191579126E0,2.271022797E-1,-6.511081755E-2,-1.044058800E-1,2.582933444E-1
1.196549491E0,4.005622864E-2,-1.074342281E-1,4.236998558E-1,4.389398394E-1
1.201516210E0,-1.906785965E-1,-9.239523113E-2,-5.971002579E-2,2.201374413E-1
1.206483293E0,-2.033553123E-1,-6.074534357E-2,-2.397398949E-1,3.201852542E-1
1.211446731E0,-1.600646973E-2,-1.196637452E-1,-2.855901718E-1,3.100602606E-1
1.216410897E0,4.150295258E-2,-1.281300187E-1,1.392951012E-1,1.937599597E-1
1.221374543E0,1.198000908E-1,-7.242442667E-2,3.612012863E-1,3.873805991E-1
1.226339022E0,9.024286270E-2,-1.051846594E-1,3.368577957E-1,3.642537047E-1
1.231303658E0,5.855798721E-2,-1.020796299E-1,-2.360281944E-1,2.637396392E-1
1.236269179E0,-1.529855728E-1,-1.797740161E-2,-6.336069107E-2,1.665603483E-1
1.241217043E0,-1.279287338E-1,1.542505622E-2,8.408069611E-3,1.291293496E-1
1.246167356E0,1.488351822E-1,-7.022386789E-2,-1.913332939E-1,2.523722101E-1
1.251123085E0,2.001066208E-1,-6.722459197E-2,1.093449593E-1,2.377354108E-1
1.256083866E0,4.190540314E-2,-6.195005774E-2,3.172459602E-1,3.259430499E-1
1.261050324E0,-5.967140198E-3,-1.138073057E-1,9.606409073E-2,1.490503912E-1
1.266020897E0,-1.104521751E-1,-6.056164205E-2,-9.001493454E-2,1.548227500E-1
1.270995429E0,-2.329182625E-1,-4.580844939E-2,-9.414529800E-2,2.553677117E-1
1.275970481E0,-5.512523651E-2,-3.114047647E-2,-1.027679443E-2,6.414151135E-2
1.280946835E0,8.080291748E-2,-6.651832163E-2,7.289218903E-2,1.275424236E-1
1.285921991E0,1.633725166E-1,-9.220424294E-2,6.743955612E-2,1.993496811E-1
1.290888241E0,6.724214554E-2,-1.009020507E-1,2.685637474E-1,2.946679765E-1
1.295845637E0,-7.118558884E-2,-1.120159030E-1,2.307724953E-1,2.662158807E-1
1.300804439E0,-2.037453651E-1,-6.836546957E-2,-1.867518425E-1,2.847143515E-1
1.305764543E0,-1.520609856E-1,-8.409693837E-3,-2.518033981E-1,2.942757509E-1
1.310726783E0,-6.272363663E-2,-5.585178733E-2,-1.231670380E-2,8.488449760E-2
1.315690324E0,-3.838300705E-2,-2.695457637E-2,1.065025330E-1,1.163726512E-1
1.320654543E0,1.044931412E-1,-2.201564610E-2,9.608936310E-2,1.436546934E-1
1.325621210E0,6.805276871E-2,-1.002609730E-1,1.973772049E-1,2.316057060E-1
